Lunar IPS (LIPS) Version 1.01
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
02A1AF      4B    No     0000087E-000008CD       50
02A216      21    No     000008CE-000008F3       26
02A23E      25    No     000008F4-0000091D       2A
02A26F       5    No     0000091E-00000927        A
02A27C       7    No     00000928-00000933        C
02A28B      16    No     00000934-0000094E       1B
02A2A7       3    No     0000094F-00000956        8
02A2C4       D    No     00000957-00000968       12
02A2DE       1    No     00000969-0000096E        6
02A2E5       E    No     0000096F-00000981       13
02A2FA      39    No     00000982-000009BF       3E
02A339       5    No     000009C0-000009C9        A
02A346       7    No     000009CA-000009D5        C
02A355       7    No     000009D6-000009E1        C
02A364       7    No     000009E2-000009ED        C
02A371      21    No     000009EE-00000A13       26
02A39C       E    No     00000A14-00000A26       13
02A3B9       5    No     00000A27-00000A30        A
02A3CE       5    No     00000A31-00000A3A        A
03360E      1E    No     00000A3B-00000A5D       23
0345A1      2F    No     00000A5E-00000A91       34
03710E       7    No     00000A92-00000A9D        C
03A526       2    No     00000A9E-00000AA4        7
03A62C       8    No     00000AA5-00000AB1        D
03A666       3    No     00000AB2-00000AB9        8
03A716       3    No     00000ABA-00000AC1        8
03A78A       3    No     00000AC2-00000AC9        8
03A7E4       3    No     00000ACA-00000AD1        8
03A8F6       2    No     00000AD2-00000AD8        7
03A914       6    No     00000AD9-00000AE3        B
03A976       7    No     00000AE4-00000AEF        C
03ACAA       B    No     00000AF0-00000AFF       10
03B15C       2    No     00000B00-00000B06        7
03B168       2    No     00000B07-00000B0D        7
03B18A       1    No     00000B0E-00000B13        6
03B19A       1    No     00000B14-00000B19        6
03B1AC       2    No     00000B1A-00000B20        7
03B1E4       2    No     00000B21-00000B27        7
03B1EC       4    No     00000B28-00000B30        9
03B216       1    No     00000B31-00000B36        6
03B2F2       7    No     00000B37-00000B42        C
03BA91       1    No     00000B43-00000B48        6
03BB4D       1    No     00000B49-00000B4E        6
03BB99       3    No     00000B4F-00000B56        8
03BDD5       2    No     00000B57-00000B5D        7
04C4D0       1    No     00000B5E-00000B63        6
04C8CE       1    No     00000B64-00000B69        6
04D8B1       1    No     00000B6A-00000B6F        6
04D8F5       1    No     00000B70-00000B75        6
04F6C3       1    No     00000B76-00000B7B        6
04F6D4       1    No     00000B7C-00000B81        6
04FBC9       1    No     00000B82-00000B87        6
04FDE1       1    No     00000B88-00000B8D        6
04FDF2       1    No     00000B8E-00000B93        6
05346B      53    No     00000B94-00000BEB       58
0534DB      53    No     00000BEC-00000C43       58
05354B      53    No     00000C44-00000C9B       58
0535BB      52    No     00000C9C-00000CF2       57
05362B      53    No     00000CF3-00000D4A       58
05369B      52    No     00000D4B-00000DA1       57
05370B      53    No     00000DA2-00000DF9       58
05377B      53    No     00000DFA-00000E51       58
0537EB      53    No     00000E52-00000EA9       58
05385B      52    No     00000EAA-00000F00       57
0538CB      53    No     00000F01-00000F58       58
053A37     347    No     00000F59-000012A4      34C
058CD0       1    No     000012A5-000012AA        6
058CDA       2    No     000012AB-000012B1        7
058CE7       2    No     000012B2-000012B8        7
058D01       2    No     000012B9-000012BF        7
058D13       1    No     000012C0-000012C5        6
058D20       1    No     000012C6-000012CB        6
058D27       7    No     000012CC-000012D7        C
058D3A       1    No     000012D8-000012DD        6
058D47       1    No     000012DE-000012E3        6
058DBC       1    No     000012E4-000012E9        6
058DC9       1    No     000012EA-000012EF        6
058DD6       1    No     000012F0-000012F5        6
058DE3       1    No     000012F6-000012FB        6
058DF0       1    No     000012FC-00001301        6
058DFD       1    No     00001302-00001307        6
058E12       2    No     00001308-0000130E        7
058E1F       2    No     0000130F-00001315        7
058E2C       2    No     00001316-0000131C        7
058E39       1    No     0000131D-00001322        6
058E46       2    No     00001323-00001329        7
058ECD       1    No     0000132A-0000132F        6
058EDA       1    No     00001330-00001335        6
058EE7       1    No     00001336-0000133B        6
0682D2       1    No     0000133C-00001341        6
0682E3       1    No     00001342-00001347        6
068625       1    No     00001348-0000134D        6
068668       1    No     0000134E-00001353        6
068679       1    No     00001354-00001359        6
06868A       1    No     0000135A-0000135F        6
06869B       1    No     00001360-00001365        6
0686AC       1    No     00001366-0000136B        6
0686BD       1    No     0000136C-00001371        6
0686CE       1    No     00001372-00001377        6
0686DF       1    No     00001378-0000137D        6
0686F0       1    No     0000137E-00001383        6
068701       1    No     00001384-00001389        6
068712       1    No     0000138A-0000138F        6
06879B       1    No     00001390-00001395        6
068BC9       1    No     00001396-0000139B        6
069226       4    No     0000139C-000013A4        9
069231       2    No     000013A5-000013AB        7
069736       D    No     000013AC-000013BD       12
07218F       1    No     000013BE-000013C3        6
0721A0      21    No     000013C4-000013E9       26
0721D9       1    No     000013EA-000013EF        6
0721F0       1    No     000013F0-000013F5        6
072221       1    No     000013F6-000013FB        6
072228       2    No     000013FC-00001402        7
072352       C    No     00001403-00001413       11
07237C       C    No     00001414-00001424       11
072390       5    No     00001425-0000142E        A
0723D0       C    No     0000142F-0000143F       11
0723EC      10    No     00001440-00001454       15
09323C       4    No     00001455-0000145D        9
09325E       9    No     0000145E-0000146B        E
0932A9       6    No     0000146C-00001476        B
0B1EDE      CF    No     00001477-0000154A       D4
0B28DC      39    No     0000154B-00001588       3E
0B2915       B    Yes    00001589-00001590        8
0D008F       3    No     00001591-00001598        8
0D0098     CA9    No     00001599-00002246      CAE
0D0DC3     3DC    No     00002247-00002627      3E1
0D11ED     D00    No     00002628-0000332C      D05
0D1FF1     23C    No     0000332D-0000356D      241
0D22C9     38E    No     0000356E-00003900      393
0D26BF      1D    No     00003901-00003922       22
0D26E3      13    No     00003923-0000393A       18
0D26FD      13    No     0000393B-00003952       18
0D2717      13    No     00003953-0000396A       18
0D2731      11    No     0000396B-00003980       16
0D274A      14    No     00003981-00003999       19
0D2771     170    No     0000399A-00003B0E      175
0D28E7       3    No     00003B0F-00003B16        8
0D2901       1    No     00003B17-00003B1C        6
0D291B       2    No     00003B1D-00003B23        7
0D292F     30C    No     00003B24-00003E34      311
0D2C55     4FA    No     00003E35-00004333      4FF
0D3169      1A    No     00004334-00004352       1F
0D319D      1A    No     00004353-00004371       1F
0D32D5     222    No     00004372-00004598      227
0D3545      4D    No     00004599-000045EA       52
0D36B1      4E    No     000045EB-0000463D       53
0D3733     562    No     0000463E-00004BA4      567
0D4459       1    No     00004BA5-00004BAA        6
0D4518       1    No     00004BAB-00004BB0        6
0D45FA       2    No     00004BB1-00004BB7        7
0D4658       2    No     00004BB8-00004BBE        7
0D4661       1    No     00004BBF-00004BC4        6
0D4687       2    No     00004BC5-00004BCB        7
0D4690       1    No     00004BCC-00004BD1        6
0D46B6       2    No     00004BD2-00004BD8        7
0D471D       1    No     00004BD9-00004BDE        6
0D4743       1    No     00004BDF-00004BE4        6
0D474C       1    No     00004BE5-00004BEA        6
0D4772       7    No     00004BEB-00004BF6        C
0D47A1       7    No     00004BF7-00004C02        C
0D47D6       7    No     00004C03-00004C0E        C
0D4895       1    No     00004C0F-00004C14        6
0D48C4       1    No     00004C15-00004C1A        6
0D48F3       1    No     00004C1B-00004C20        6
0D4922       1    No     00004C21-00004C26        6
0D4951       1    No     00004C27-00004C2C        6
0D4980       1    No     00004C2D-00004C32        6
0D49AF       1    No     00004C33-00004C38        6
0D49DE       1    No     00004C39-00004C3E        6
0D4A0D       1    No     00004C3F-00004C44        6
0D4A3C       1    No     00004C45-00004C4A        6
0D4A6B       1    No     00004C4B-00004C50        6
0D4A9A       1    No     00004C51-00004C56        6
0D4AC9       1    No     00004C57-00004C5C        6
0D4AF8       1    No     00004C5D-00004C62        6
0D4B27       1    No     00004C63-00004C68        6
0D4B56       1    No     00004C69-00004C6E        6
0D4BE3       1    No     00004C6F-00004C74        6
0D4C12       1    No     00004C75-00004C7A        6
0D4C38       2    No     00004C7B-00004C81        7
0D4C41       1    No     00004C82-00004C87        6
0D4C70       1    No     00004C88-00004C8D        6
0D4C9F       1    No     00004C8E-00004C93        6
0D4CCE       1    No     00004C94-00004C99        6
0D4CFD       1    No     00004C9A-00004C9F        6
0D4D2C       1    No     00004CA0-00004CA5        6
0D4D5B       1    No     00004CA6-00004CAB        6
0D4D87       4    No     00004CAC-00004CB4        9
0D4DB6       4    No     00004CB5-00004CBD        9
0D4DE5       4    No     00004CBE-00004CC6        9
0D5197       1    No     00004CC7-00004CCC        6
0D52AB       1    No     00004CCD-00004CD2        6
0D5367       4    No     00004CD3-00004CDB        9
0D5423       1    No     00004CDC-00004CE1        6
0D5543       1    No     00004CE2-00004CE7        6
0D570D       2    No     00004CE8-00004CEE        7
0D573C       2    No     00004CEF-00004CF5        7
0D576B       2    No     00004CF6-00004CFC        7
0D57C9       1    No     00004CFD-00004D02        6
0D5830       1    No     00004D03-00004D08        6
0D5856       A    No     00004D09-00004D17        F
0D588E       1    No     00004D18-00004D1D        6
0D5BA4       1    No     00004D1E-00004D23        6
0D5CBE       7    No     00004D24-00004D2F        C
0D5CED       7    No     00004D30-00004D3B        C
0D5DD8       1    No     00004D3C-00004D41        6
0D61B3       2    No     00004D42-00004D48        7
0D61E2       7    No     00004D49-00004D54        C
0D6249       1    No     00004D55-00004D5A        6
0D629E       1    No     00004D5B-00004D60        6
0D62A7       1    No     00004D61-00004D66        6
0D62D6       1    No     00004D67-00004D6C        6
0D6305       1    No     00004D6D-00004D72        6
0D6334       1    No     00004D73-00004D78        6
0D6363       1    No     00004D79-00004D7E        6
0D6392       1    No     00004D7F-00004D84        6
0D63C1       1    No     00004D85-00004D8A        6
0D63F0       1    No     00004D8B-00004D90        6
0D644E       1    No     00004D91-00004D96        6
0D647D       1    No     00004D97-00004D9C        6
0D64AC       1    No     00004D9D-00004DA2        6
0D64DB       1    No     00004DA3-00004DA8        6
0D650A       1    No     00004DA9-00004DAE        6
0D6539       1    No     00004DAF-00004DB4        6
0D6568       1    No     00004DB5-00004DBA        6
0D6597       1    No     00004DBB-00004DC0        6
0D65C6       1    No     00004DC1-00004DC6        6
0D65F5       1    No     00004DC7-00004DCC        6
0D6624       1    No     00004DCD-00004DD2        6
0D6653       1    No     00004DD3-00004DD8        6
0D6682       1    No     00004DD9-00004DDE        6
0D66E0       1    No     00004DDF-00004DE4        6
0D670F       1    No     00004DE5-00004DEA        6
0D673E       1    No     00004DEB-00004DF0        6
0D676A       4    No     00004DF1-00004DF9        9
0D6799       1    No     00004DFA-00004DFF        6
0D67C8       4    No     00004E00-00004E08        9
0D67FA       1    No     00004E09-00004E0E        6
0D696F       1    No     00004E0F-00004E14        6
0D6A31       1    No     00004E15-00004E1A        6
0D6B3F       1    No     00004E1B-00004E20        6
0D6B48       1    No     00004E21-00004E26        6
0D6B74       4    No     00004E27-00004E2F        9
0D6C04       1    No     00004E30-00004E35        6
0D6C30       4    No     00004E36-00004E3E        9
0D6C88       1    No     00004E3F-00004E44        6
0D6CE6       A    No     00004E45-00004E53        F
0D6F49       2    No     00004E54-00004E5A        7
0D703D       1    No     00004E5B-00004E60        6
0D70F0       2    No     00004E61-00004E67        7
0D711F       2    No     00004E68-00004E6E        7
0D714E       1    No     00004E6F-00004E74        6
0D717D       1    No     00004E75-00004E7A        6
0D71B5       1    No     00004E7B-00004E80        6
0D71DB       2    No     00004E81-00004E87        7
0D723F       4    No     00004E88-00004E90        9
0D726E       4    No     00004E91-00004E99        9
0D72C6       1    No     00004E9A-00004E9F        6
0D767B       1    No     00004EA0-00004EA5        6
0D76A1       2    No     00004EA6-00004EAC        7
0D76AA       1    No     00004EAD-00004EB2        6
0D76D9       1    No     00004EB3-00004EB8        6
0D76FF       2    No     00004EB9-00004EBF        7
0D7708       1    No     00004EC0-00004EC5        6
0D7737       1    No     00004EC6-00004ECB        6
0D7766       1    No     00004ECC-00004ED1        6
0D7795       1    No     00004ED2-00004ED7        6
0D77BB       2    No     00004ED8-00004EDE        7
0D784E       1    No     00004EDF-00004EE4        6
0D78DE       1    No     00004EE5-00004EEA        6
0D796B       1    No     00004EEB-00004EF0        6
0D799A       1    No     00004EF1-00004EF6        6
0D79F8       1    No     00004EF7-00004EFC        6
0D7A27       1    No     00004EFD-00004F02        6
0D7A85       1    No     00004F03-00004F08        6
0EC84A       4    No     00004F09-00004F11        9
0EC855       4    No     00004F12-00004F1A        9
0EC8A3       4    No     00004F1B-00004F23        9
182969       8    No     00004F24-00004F30        D
182979       9    No     00004F31-00004F3E        E
18298A       9    No     00004F3F-00004F4C        E
18299B       8    No     00004F4D-00004F59        D
1829AB       9    No     00004F5A-00004F67        E
1829BB       A    No     00004F68-00004F76        F
1829CB       B    No     00004F77-00004F86       10
1829DC      1C    No     00004F87-00004FA7       21
1829FE      15    No     00004FA8-00004FC1       1A
182A14       D    Yes    00004FC2-00004FC9        8
182A21      2E    No     00004FCA-00004FFC       33
182A50       D    Yes    00004FFD-00005004        8
182A5D      2E    No     00005005-00005037       33
182A8C       D    Yes    00005038-0000503F        8
182A99      2E    No     00005040-00005072       33
182AC8       D    Yes    00005073-0000507A        8
182AD5      2E    No     0000507B-000050AD       33
182B04       D    Yes    000050AE-000050B5        8
182B11      2E    No     000050B6-000050E8       33
182B40       D    Yes    000050E9-000050F0        8
182B4D      2E    No     000050F1-00005123       33
182B7C       D    Yes    00005124-0000512B        8
182B89      2E    No     0000512C-0000515E       33
182BB8       D    Yes    0000515F-00005166        8
182BC5      59    No     00005167-000051C4       5E
182C25      35    No     000051C5-000051FE       3A
1F1169      58    No     000051FF-0000525B       5D
20A369       A    No     0000525C-0000526A        F
288070      D0    No     0000526B-0000533F       D5
288174      D0    No     00005340-00005414       D5
288260      32    No     00005415-0000544B       37
2882AC     1A0    No     0000544C-000055F0      1A5
2884E8     4FA    No     000055F1-00005AEF      4FF
3C973C       5    No     00005AF0-00005AF9        A
3C9751       2    No     00005AFA-00005B00        7
3C9832      11    No     00005B01-00005B16       16
3C988F       2    No     00005B17-00005B1D        7
3C98E9      3D    No     00005B1E-00005B5F       42
3C995B      17    No     00005B60-00005B7B       1C
3C997C       1    No     00005B7C-00005B81        6
3C99AF       7    No     00005B82-00005B8D        C
3C99EB      13    No     00005B8E-00005BA5       18
3C9A9F      28    No     00005BA6-00005BD2       2D
3C9ACF       7    No     00005BD3-00005BDE        C
3C9B0B       5    No     00005BDF-00005BE8        A
3C9C4F       2    No     00005BE9-00005BEF        7
3C9D84       D    No     00005BF0-00005C01       12
3C9D99       7    No     00005C02-00005C0D        C
3C9DA8       1    No     00005C0E-00005C13        6
3C9E5F       2    No     00005C14-00005C1A        7
3C9EEF       2    No     00005C1B-00005C21        7
3CA09F       2    No     00005C22-00005C28        7
3CA12C       5    No     00005C29-00005C32        A
3CA15C       2    No     00005C33-00005C39        7
------    ----    EOF    00005C3A-00005C3C        3

Total Patches: 1B9 (441)
